Ensembl_gene	Cancer_type	Gene_name	count
ENSG00000126254	TCGA-ESCA	RBM42	13
ENSG00000149781	TCGA-ESCA	FERMT3	13
ENSG00000051382	TCGA-GBM	PIK3CB	13
ENSG00000157764	TCGA-GBM	BRAF	13
ENSG00000160867	TCGA-GBM	FGFR4	13
ENSG00000168702	TCGA-GBM	LRP1B	13
ENSG00000183337	TCGA-GBM	BCOR	13
ENSG00000213281	TCGA-GBM	NRAS	13
ENSG00000089327	TCGA-HNSC	FXYD5	13
ENSG00000104228	TCGA-HNSC	TRIM35	13
ENSG00000104537	TCGA-HNSC	ANXA13	13
ENSG00000110079	TCGA-HNSC	MS4A4A	13
ENSG00000114850	TCGA-HNSC	SSR3	13
ENSG00000115274	TCGA-HNSC	INO80B	13
ENSG00000136802	TCGA-HNSC	LRRC8A	13
ENSG00000139624	TCGA-HNSC	CERS5	13
ENSG00000163946	TCGA-HNSC	FAM208A	13
ENSG00000166598	TCGA-HNSC	HSP90B1	13
ENSG00000176293	TCGA-HNSC	ZNF135	13
ENSG00000185972	TCGA-HNSC	CCIN	13
ENSG00000189430	TCGA-HNSC	NCR1	13
ENSG00000198003	TCGA-HNSC	CCDC151	13
ENSG00000198598	TCGA-HNSC	MMP17	13
ENSG00000213145	TCGA-HNSC	CRIP1	13
ENSG00000221938	TCGA-HNSC	OR2A14	13
ENSG00000070501	TCGA-KIRP	POLB	13
ENSG00000111348	TCGA-KIRP	ARHGDIB	13
ENSG00000143819	TCGA-KIRP	EPHX1	13
ENSG00000156675	TCGA-KIRP	RAB11FIP1	13
ENSG00000162391	TCGA-KIRP	FAM151A	13
ENSG00000185950	TCGA-KIRP	IRS2	13
ENSG00000188042	TCGA-KIRP	ARL4C	13
ENSG00000102128	TCGA-LAML	RAB40AL	13
ENSG00000142082	TCGA-LAML	SIRT3	13
ENSG00000206503	TCGA-LAML	HLA-A	13
ENSG00000022355	TCGA-LGG	GABRA1	13
ENSG00000034677	TCGA-LGG	RNF19A	13
ENSG00000100024	TCGA-LGG	UPB1	13
ENSG00000123562	TCGA-LGG	MORF4L2	13
ENSG00000127252	TCGA-LGG	HRASLS	13
ENSG00000131069	TCGA-LGG	ACSS2	13
ENSG00000132702	TCGA-LGG	HAPLN2	13
ENSG00000133107	TCGA-LGG	TRPC4	13
ENSG00000134001	TCGA-LGG	EIF2S1	13
ENSG00000162384	TCGA-LGG	C1orf123	13
ENSG00000183671	TCGA-LGG	GPR1	13
ENSG00000197885	TCGA-LGG	NKIRAS1	13
ENSG00000198856	TCGA-LGG	OSTC	13
ENSG00000257365	TCGA-LGG	FNTB	13
ENSG00000028116	TCGA-LIHC	VRK2	13
ENSG00000103126	TCGA-LIHC	AXIN1	13
ENSG00000114331	TCGA-LIHC	ACAP2	13
ENSG00000119772	TCGA-LIHC	DNMT3A	13
ENSG00000135521	TCGA-LIHC	LTV1	13
ENSG00000146469	TCGA-LIHC	VIP	13
ENSG00000154102	TCGA-LIHC	C16orf74	13
ENSG00000168036	TCGA-LIHC	CTNNB1	13
ENSG00000169612	TCGA-LIHC	FAM103A1	13
ENSG00000184378	TCGA-LIHC	ACTRT3	13
ENSG00000196159	TCGA-LIHC	FAT4	13
ENSG00000213967	TCGA-LIHC	ZNF726	13
ENSG00000034510	TCGA-LUAD	TMSB10	13
ENSG00000110422	TCGA-LUAD	HIPK3	13
ENSG00000151923	TCGA-LUAD	TIAL1	13
ENSG00000197403	TCGA-LUAD	OR6N1	13
ENSG00000037280	TCGA-LUSC	FLT4	13
ENSG00000061492	TCGA-LUSC	WNT8A	13
ENSG00000095059	TCGA-LUSC	DHPS	13
ENSG00000100600	TCGA-LUSC	LGMN	13
ENSG00000123975	TCGA-LUSC	CKS2	13
ENSG00000134369	TCGA-LUSC	NAV1	13
ENSG00000143977	TCGA-LUSC	SNRPG	13
ENSG00000149488	TCGA-LUSC	TMC2	13
ENSG00000156860	TCGA-LUSC	FBRS	13
ENSG00000164749	TCGA-LUSC	HNF4G	13
ENSG00000171206	TCGA-LUSC	TRIM8	13
ENSG00000174886	TCGA-LUSC	NDUFA11	13
ENSG00000186153	TCGA-LUSC	WWOX	13
ENSG00000205882	TCGA-LUSC	DEFB134	13
ENSG00000230797	TCGA-LUSC	YY2	13
ENSG00000100503	TCGA-MESO	NIN	13
ENSG00000105254	TCGA-MESO	TBCB	13
ENSG00000130700	TCGA-MESO	GATA5	13
ENSG00000150457	TCGA-MESO	LATS2	13
ENSG00000165125	TCGA-MESO	TRPV6	13
ENSG00000171385	TCGA-MESO	KCND3	13
ENSG00000183833	TCGA-MESO	MAATS1	13
ENSG00000212128	TCGA-MESO	TAS2R13	13
ENSG00000001631	TCGA-OV	KRIT1	13
ENSG00000111540	TCGA-OV	RAB5B	13
ENSG00000136942	TCGA-OV	RPL35	13
ENSG00000167914	TCGA-OV	GSDMA	13
ENSG00000168916	TCGA-OV	ZNF608	13
ENSG00000174950	TCGA-OV	CD164L2	13
ENSG00000180447	TCGA-OV	GAS1	13
ENSG00000185787	TCGA-OV	MORF4L1	13
ENSG00000189409	TCGA-OV	MMP23B	13
ENSG00000242574	TCGA-OV	HLA-DMB	13
ENSG00000072518	TCGA-PAAD	MARK2	13
ENSG00000116014	TCGA-PAAD	KISS1R	13
ENSG00000130037	TCGA-PAAD	KCNA5	13
ENSG00000151704	TCGA-PAAD	KCNJ1	13
ENSG00000164611	TCGA-PAAD	PTTG1	13
ENSG00000169564	TCGA-PAAD	PCBP1	13
ENSG00000171853	TCGA-PAAD	TRAPPC12	13
ENSG00000175322	TCGA-PAAD	ZNF519	13
ENSG00000187323	TCGA-PAAD	DCC	13
ENSG00000196159	TCGA-PAAD	FAT4	13
ENSG00000071051	TCGA-PCPG	NCK2	13
ENSG00000085978	TCGA-PCPG	ATG16L1	13
ENSG00000101327	TCGA-PCPG	PDYN	13
ENSG00000128463	TCGA-PCPG	EMC4	13
ENSG00000138162	TCGA-PCPG	TACC2	13
ENSG00000166181	TCGA-PCPG	API5	13
ENSG00000185352	TCGA-PCPG	HS6ST3	13
ENSG00000240857	TCGA-PCPG	RDH14	13
ENSG00000244607	TCGA-PCPG	CCDC13	13
ENSG00000075303	TCGA-PRAD	SLC25A40	13
ENSG00000102312	TCGA-PRAD	PORCN	13
ENSG00000103546	TCGA-PRAD	SLC6A2	13
ENSG00000106009	TCGA-PRAD	BRAT1	13
ENSG00000112697	TCGA-PRAD	TMEM30A	13
ENSG00000115137	TCGA-PRAD	DNAJC27	13
ENSG00000115289	TCGA-PRAD	PCGF1	13
ENSG00000115524	TCGA-PRAD	SF3B1	13
ENSG00000123595	TCGA-PRAD	RAB9A	13
ENSG00000127586	TCGA-PRAD	CHTF18	13
ENSG00000135678	TCGA-PRAD	CPM	13
ENSG00000138794	TCGA-PRAD	CASP6	13
ENSG00000163806	TCGA-PRAD	SPDYA	13
ENSG00000165323	TCGA-PRAD	FAT3	13
ENSG00000165792	TCGA-PRAD	METTL17	13
ENSG00000180938	TCGA-PRAD	ZNF572	13
ENSG00000186732	TCGA-PRAD	MPPED1	13
ENSG00000197776	TCGA-PRAD	KLHDC1	13
ENSG00000198033	TCGA-PRAD	TUBA3C	13
ENSG00000235034	TCGA-PRAD	C19orf81	13
ENSG00000275385	TCGA-PRAD	CCL18	13
ENSG00000105835	TCGA-READ	NAMPT	13
ENSG00000144152	TCGA-READ	FBLN7	13
ENSG00000146038	TCGA-READ	DCDC2	13
ENSG00000146592	TCGA-READ	CREB5	13
ENSG00000163513	TCGA-READ	TGFBR2	13
ENSG00000011260	TCGA-SARC	UTP18	13
ENSG00000108671	TCGA-SARC	PSMD11	13
ENSG00000115042	TCGA-SARC	FAHD2A	13
ENSG00000124159	TCGA-SARC	MATN4	13
ENSG00000135824	TCGA-SARC	RGS8	13
ENSG00000147119	TCGA-SARC	CHST7	13
ENSG00000152683	TCGA-SARC	SLC30A6	13
ENSG00000178084	TCGA-SARC	HTR3C	13
ENSG00000235268	TCGA-SARC	KDM4E	13
ENSG00000055609	TCGA-SKCM	KMT2C	13
ENSG00000126453	TCGA-SKCM	BCL2L12	13
ENSG00000130713	TCGA-SKCM	EXOSC2	13
ENSG00000134539	TCGA-SKCM	KLRD1	13
ENSG00000135678	TCGA-SKCM	CPM	13
ENSG00000138685	TCGA-SKCM	FGF2	13
ENSG00000151790	TCGA-SKCM	TDO2	13
ENSG00000116132	TCGA-STAD	PRRX1	13
ENSG00000118564	TCGA-STAD	FBXL5	13
ENSG00000121211	TCGA-STAD	MND1	13
ENSG00000125166	TCGA-STAD	GOT2	13
ENSG00000134532	TCGA-STAD	SOX5	13
ENSG00000159556	TCGA-STAD	ISL2	13
ENSG00000163590	TCGA-STAD	PPM1L	13
ENSG00000176476	TCGA-STAD	CCDC101	13
ENSG00000183454	TCGA-STAD	GRIN2A	13
ENSG00000196611	TCGA-STAD	MMP1	13
ENSG00000198874	TCGA-STAD	TYW1	13
ENSG00000256683	TCGA-STAD	ZNF350	13
ENSG00000006695	TCGA-TGCT	COX10	13
ENSG00000091527	TCGA-TGCT	CDV3	13
ENSG00000100075	TCGA-TGCT	SLC25A1	13
ENSG00000103160	TCGA-TGCT	HSDL1	13
ENSG00000132259	TCGA-TGCT	CNGA4	13
ENSG00000159733	TCGA-TGCT	ZFYVE28	13
ENSG00000175544	TCGA-TGCT	CABP4	13
ENSG00000001629	TCGA-THCA	ANKIB1	13
ENSG00000008441	TCGA-THCA	NFIX	13
ENSG00000055732	TCGA-THCA	MCOLN3	13
ENSG00000087237	TCGA-THCA	CETP	13
ENSG00000099804	TCGA-THCA	CDC34	13
ENSG00000130724	TCGA-THCA	CHMP2A	13
ENSG00000162852	TCGA-THCA	CNST	13
ENSG00000163273	TCGA-THCA	NPPC	13
ENSG00000171476	TCGA-THCA	HOPX	13
ENSG00000177728	TCGA-THCA	KIAA0195	13
ENSG00000184445	TCGA-THCA	KNTC1	13
ENSG00000082397	TCGA-UCEC	EPB41L3	13
ENSG00000088280	TCGA-UCEC	ASAP3	13
ENSG00000110696	TCGA-UCEC	C11orf58	13
ENSG00000125304	TCGA-UCEC	TM9SF2	13
ENSG00000137831	TCGA-UCEC	UACA	13
ENSG00000165506	TCGA-UCEC	DNAAF2	13
ENSG00000166477	TCGA-UCEC	LEO1	13
ENSG00000173113	TCGA-UCEC	TRMT112	13
ENSG00000176055	TCGA-UCEC	MBLAC2	13
ENSG00000184056	TCGA-UCEC	VPS33B	13
ENSG00000213347	TCGA-UCEC	MXD3	13
ENSG00000250506	TCGA-UCEC	CDK3	13
ENSG00000110888	TCGA-UCS	CAPRIN2	13
ENSG00000168476	TCGA-UCS	REEP4	13
ENSG00000170837	TCGA-UCS	GPR27	13
ENSG00000196850	TCGA-UCS	PPTC7	13
ENSG00000007402	TCGA-UVM	CACNA2D2	13
ENSG00000012504	TCGA-UVM	NR1H4	13
ENSG00000022567	TCGA-UVM	SLC45A4	13
ENSG00000130881	TCGA-UVM	LRP3	13
ENSG00000176895	TCGA-ACC	OR51A7	12
ENSG00000177595	TCGA-ACC	PIDD	12
ENSG00000110060	TCGA-BLCA	PUS3	12
ENSG00000127364	TCGA-BLCA	TAS2R4	12
ENSG00000136144	TCGA-BLCA	RCBTB1	12
ENSG00000173040	TCGA-BLCA	EVC2	12
ENSG00000183117	TCGA-BLCA	CSMD1	12
ENSG00000183549	TCGA-BLCA	ACSM5	12
ENSG00000011028	TCGA-BRCA	MRC2	12
ENSG00000160753	TCGA-BRCA	RUSC1	12
ENSG00000051341	TCGA-CESC	POLQ	12
ENSG00000064961	TCGA-CESC	HMG20B	12
ENSG00000116161	TCGA-CESC	CACYBP	12
ENSG00000205857	TCGA-CESC	NANOGNB	12
ENSG00000213213	TCGA-CESC	CCDC183	12
ENSG00000277745	TCGA-CESC	H2AB3	12
ENSG00000048028	TCGA-COAD	USP28	12
ENSG00000145358	TCGA-COAD	DDIT4L	12
ENSG00000165138	TCGA-COAD	ANKS6	12
ENSG00000167634	TCGA-COAD	NLRP7	12
ENSG00000169397	TCGA-COAD	RNASE3	12
ENSG00000082126	TCGA-ESCA	MPP4	12
ENSG00000103126	TCGA-ESCA	AXIN1	12
ENSG00000130827	TCGA-ESCA	PLXNA3	12
ENSG00000140937	TCGA-ESCA	CDH11	12
ENSG00000147050	TCGA-ESCA	KDM6A	12
ENSG00000153107	TCGA-ESCA	ANAPC1	12
ENSG00000165323	TCGA-ESCA	FAT3	12
ENSG00000165556	TCGA-ESCA	CDX2	12
ENSG00000171916	TCGA-ESCA	LGALS9C	12
ENSG00000181274	TCGA-ESCA	FRAT2	12
ENSG00000188659	TCGA-ESCA	FAM154B	12
ENSG00000196081	TCGA-ESCA	ZNF724P	12
ENSG00000213809	TCGA-ESCA	KLRK1	12
ENSG00000095015	TCGA-GBM	MAP3K1	12
ENSG00000101972	TCGA-GBM	STAG2	12
ENSG00000146648	TCGA-GBM	EGFR	12
ENSG00000157388	TCGA-GBM	CACNA1D	12
ENSG00000071246	TCGA-HNSC	VASH1	12
ENSG00000116991	TCGA-HNSC	SIPA1L2	12
ENSG00000125629	TCGA-HNSC	INSIG2	12
ENSG00000131042	TCGA-HNSC	LILRB2	12
ENSG00000136869	TCGA-HNSC	TLR4	12
ENSG00000147889	TCGA-HNSC	CDKN2A	12
ENSG00000167925	TCGA-HNSC	GHDC	12
ENSG00000169297	TCGA-HNSC	NR0B1	12
ENSG00000174607	TCGA-HNSC	UGT8	12
ENSG00000177688	TCGA-HNSC	SUMO4	12
ENSG00000178235	TCGA-HNSC	SLITRK1	12
ENSG00000188822	TCGA-HNSC	CNR2	12
ENSG00000188921	TCGA-HNSC	PTPLAD2	12
ENSG00000198142	TCGA-HNSC	SOWAHC	12
ENSG00000204065	TCGA-HNSC	TCEAL5	12
ENSG00000213064	TCGA-HNSC	SFT2D2	12
ENSG00000213339	TCGA-HNSC	QTRT1	12
ENSG00000239789	TCGA-HNSC	MRPS17	12
ENSG00000248746	TCGA-HNSC	ACTN3	12
ENSG00000109193	TCGA-KICH	SULT1E1	12
ENSG00000138670	TCGA-KICH	RASGEF1B	12
ENSG00000232119	TCGA-KICH	MCTS1	12
ENSG00000102043	TCGA-KIRP	MTMR8	12
ENSG00000109790	TCGA-KIRP	KLHL5	12
ENSG00000124198	TCGA-KIRP	ARFGEF2	12
ENSG00000171115	TCGA-KIRP	GIMAP8	12
ENSG00000180263	TCGA-KIRP	FGD6	12
ENSG00000182810	TCGA-KIRP	DDX28	12
ENSG00000109113	TCGA-LAML	RAB34	12
ENSG00000114857	TCGA-LAML	NKTR	12
ENSG00000114956	TCGA-LAML	DGUOK	12
ENSG00000133392	TCGA-LAML	MYH11	12
ENSG00000141971	TCGA-LAML	MVB12A	12
ENSG00000204179	TCGA-LAML	PTPN20A	12
ENSG00000204257	TCGA-LAML	HLA-DMA	12
ENSG00000084070	TCGA-LGG	SMAP2	12
ENSG00000085415	TCGA-LGG	SEH1L	12
ENSG00000088970	TCGA-LGG	PLK1S1	12
ENSG00000089041	TCGA-LGG	P2RX7	12
ENSG00000105472	TCGA-LGG	CLEC11A	12
ENSG00000105523	TCGA-LGG	FAM83E	12
ENSG00000106258	TCGA-LGG	CYP3A5	12
ENSG00000107954	TCGA-LGG	NEURL1	12
ENSG00000109158	TCGA-LGG	GABRA4	12
ENSG00000116774	TCGA-LGG	OLFML3	12
ENSG00000121807	TCGA-LGG	CCR2	12
ENSG00000130475	TCGA-LGG	FCHO1	12
ENSG00000143196	TCGA-LGG	DPT	12
ENSG00000144959	TCGA-LGG	NCEH1	12
ENSG00000147894	TCGA-LGG	C9orf72	12
ENSG00000162086	TCGA-LGG	ZNF75A	12
ENSG00000168386	TCGA-LGG	FILIP1L	12
ENSG00000169660	TCGA-LGG	HEXDC	12
ENSG00000196152	TCGA-LGG	ZNF79	12
ENSG00000196639	TCGA-LGG	HRH1	12
ENSG00000196747	TCGA-LGG	HIST1H2AI	12
ENSG00000197043	TCGA-LGG	ANXA6	12
ENSG00000198099	TCGA-LGG	ADH4	12
ENSG00000198398	TCGA-LGG	TMEM207	12
ENSG00000070371	TCGA-LIHC	CLTCL1	12
ENSG00000079102	TCGA-LIHC	RUNX1T1	12
ENSG00000087586	TCGA-LIHC	AURKA	12
ENSG00000090316	TCGA-LIHC	MAEA	12
ENSG00000097007	TCGA-LIHC	ABL1	12
ENSG00000099326	TCGA-LIHC	MZF1	12
ENSG00000100030	TCGA-LIHC	MAPK1	12
ENSG00000106993	TCGA-LIHC	CDC37L1	12
ENSG00000119699	TCGA-LIHC	TGFB3	12
ENSG00000121377	TCGA-LIHC	TAS2R7	12
ENSG00000124006	TCGA-LIHC	OBSL1	12
ENSG00000130479	TCGA-LIHC	MAP1S	12
ENSG00000136802	TCGA-LIHC	LRRC8A	12
ENSG00000140937	TCGA-LIHC	CDH11	12
ENSG00000143379	TCGA-LIHC	SETDB1	12
ENSG00000146192	TCGA-LIHC	FGD2	12
ENSG00000166164	TCGA-LIHC	BRD7	12
ENSG00000171916	TCGA-LIHC	LGALS9C	12
ENSG00000183049	TCGA-LIHC	CAMK1D	12
ENSG00000185960	TCGA-LIHC	SHOX	12
ENSG00000205571	TCGA-LIHC	SMN2	12
ENSG00000085719	TCGA-LUAD	CPNE3	12
ENSG00000112357	TCGA-LUAD	PEX7	12
ENSG00000163909	TCGA-LUAD	HEYL	12
ENSG00000166902	TCGA-LUAD	MRPL16	12
ENSG00000183760	TCGA-LUAD	PAPL	12
ENSG00000197465	TCGA-LUAD	GYPE	12
ENSG00000204628	TCGA-LUAD	GNB2L1	12
ENSG00000054356	TCGA-LUSC	PTPRN	12
ENSG00000084207	TCGA-LUSC	GSTP1	12
ENSG00000093000	TCGA-LUSC	NUP50	12
ENSG00000100368	TCGA-LUSC	CSF2RB	12
ENSG00000103326	TCGA-LUSC	CAPN15	12
ENSG00000105289	TCGA-LUSC	TJP3	12
ENSG00000105404	TCGA-LUSC	RABAC1	12
ENSG00000109265	TCGA-LUSC	KIAA1211	12
ENSG00000135374	TCGA-LUSC	ELF5	12
ENSG00000136732	TCGA-LUSC	GYPC	12
ENSG00000137877	TCGA-LUSC	SPTBN5	12
ENSG00000138002	TCGA-LUSC	IFT172	12
ENSG00000143612	TCGA-LUSC	C1orf43	12
ENSG00000146376	TCGA-LUSC	ARHGAP18	12
ENSG00000159374	TCGA-LUSC	M1AP	12
ENSG00000160785	TCGA-LUSC	SLC25A44	12
ENSG00000163220	TCGA-LUSC	S100A9	12
ENSG00000163666	TCGA-LUSC	HESX1	12
ENSG00000166341	TCGA-LUSC	DCHS1	12
ENSG00000176340	TCGA-LUSC	COX8A	12
ENSG00000183549	TCGA-LUSC	ACSM5	12
ENSG00000184203	TCGA-LUSC	PPP1R2	12
ENSG00000197272	TCGA-LUSC	IL27	12
ENSG00000272772	TCGA-LUSC	CTD-2410N18.5	12
ENSG00000123094	TCGA-MESO	RASSF8	12
ENSG00000136108	TCGA-MESO	CKAP2	12
ENSG00000185920	TCGA-MESO	PTCH1	12
ENSG00000204020	TCGA-MESO	LIPN	12
ENSG00000204381	TCGA-MESO	LAYN	12
ENSG00000010610	TCGA-OV	CD4	12
ENSG00000062194	TCGA-OV	GPBP1	12
ENSG00000108830	TCGA-OV	RND2	12
ENSG00000115138	TCGA-OV	POMC	12
ENSG00000118369	TCGA-OV	USP35	12
ENSG00000123453	TCGA-OV	SARDH	12
ENSG00000158815	TCGA-OV	FGF17	12
ENSG00000159723	TCGA-OV	AGRP	12
ENSG00000176893	TCGA-OV	OR51G2	12
ENSG00000181847	TCGA-OV	TIGIT	12
ENSG00000183853	TCGA-OV	KIRREL	12
ENSG00000196218	TCGA-OV	RYR1	12
ENSG00000204371	TCGA-OV	EHMT2	12
ENSG00000006704	TCGA-PAAD	GTF2IRD1	12
ENSG00000099949	TCGA-PAAD	LZTR1	12
ENSG00000100916	TCGA-PAAD	BRMS1L	12
ENSG00000119138	TCGA-PAAD	KLF9	12
ENSG00000168916	TCGA-PAAD	ZNF608	12
ENSG00000182872	TCGA-PAAD	RBM10	12
ENSG00000185122	TCGA-PAAD	HSF1	12
ENSG00000188549	TCGA-PAAD	C15orf52	12
ENSG00000198795	TCGA-PAAD	ZNF521	12
ENSG00000213927	TCGA-PAAD	CCL27	12
ENSG00000135164	TCGA-PCPG	DMTF1	12
ENSG00000139899	TCGA-PCPG	CBLN3	12
ENSG00000152784	TCGA-PCPG	PRDM8	12
ENSG00000171503	TCGA-PCPG	ETFDH	12
ENSG00000185158	TCGA-PCPG	LRRC37B	12
ENSG00000023572	TCGA-PRAD	GLRX2	12
ENSG00000067113	TCGA-PRAD	PPAP2A	12
ENSG00000100450	TCGA-PRAD	GZMH	12
ENSG00000108861	TCGA-PRAD	DUSP3	12
ENSG00000121716	TCGA-PRAD	PILRB	12
ENSG00000122180	TCGA-PRAD	MYOG	12
ENSG00000135406	TCGA-PRAD	PRPH	12
ENSG00000151148	TCGA-PRAD	UBE3B	12
ENSG00000151834	TCGA-PRAD	GABRA2	12
ENSG00000158055	TCGA-PRAD	GRHL3	12
ENSG00000163374	TCGA-PRAD	YY1AP1	12
ENSG00000167996	TCGA-PRAD	FTH1	12
ENSG00000172967	TCGA-PRAD	XKR3	12
ENSG00000196912	TCGA-PRAD	ANKRD36B	12
ENSG00000197808	TCGA-PRAD	ZNF461	12
ENSG00000227151	TCGA-PRAD	PRR20D	12
ENSG00000258947	TCGA-PRAD	TUBB3	12
ENSG00000267060	TCGA-PRAD	PTGES3L	12
ENSG00000065361	TCGA-READ	ERBB3	12
ENSG00000102699	TCGA-READ	PARP4	12
ENSG00000107779	TCGA-READ	BMPR1A	12
ENSG00000125970	TCGA-READ	RALY	12
ENSG00000127616	TCGA-READ	SMARCA4	12
ENSG00000171862	TCGA-READ	PTEN	12
ENSG00000186174	TCGA-READ	BCL9L	12
ENSG00000197555	TCGA-READ	SIPA1L1	12
ENSG00000005175	TCGA-SARC	RPAP3	12
ENSG00000088782	TCGA-SARC	DEFB127	12
ENSG00000105379	TCGA-SARC	ETFB	12
ENSG00000128805	TCGA-SARC	ARHGAP22	12
ENSG00000144677	TCGA-SARC	CTDSPL	12
ENSG00000196230	TCGA-SARC	TUBB	12
ENSG00000196502	TCGA-SARC	SULT1A1	12
ENSG00000197849	TCGA-SARC	OR8G1	12
ENSG00000205060	TCGA-SARC	SLC35B4	12
ENSG00000043462	TCGA-SKCM	LCP2	12
ENSG00000044090	TCGA-SKCM	CUL7	12
ENSG00000064601	TCGA-SKCM	CTSA	12
ENSG00000068394	TCGA-SKCM	GPKOW	12
ENSG00000091436	TCGA-SKCM	MLTK	12
ENSG00000101557	TCGA-SKCM	USP14	12
ENSG00000105617	TCGA-SKCM	LENG1	12
ENSG00000108510	TCGA-SKCM	MED13	12
ENSG00000113273	TCGA-SKCM	ARSB	12
ENSG00000121318	TCGA-SKCM	TAS2R10	12
ENSG00000121797	TCGA-SKCM	CCRL2	12
ENSG00000131013	TCGA-SKCM	PPIL4	12
ENSG00000141510	TCGA-SKCM	TP53	12
ENSG00000143067	TCGA-SKCM	ZNF697	12
ENSG00000157764	TCGA-SKCM	BRAF	12
ENSG00000163001	TCGA-SKCM	CCDC104	12
ENSG00000168397	TCGA-SKCM	ATG4B	12
ENSG00000171533	TCGA-SKCM	MAP6	12
ENSG00000178522	TCGA-SKCM	AMBN	12
ENSG00000179041	TCGA-SKCM	RRS1	12
ENSG00000184916	TCGA-SKCM	JAG2	12
ENSG00000187733	TCGA-SKCM	AMY1C	12
ENSG00000188779	TCGA-SKCM	SKOR1	12
ENSG00000206503	TCGA-SKCM	HLA-A	12
ENSG00000242362	TCGA-SKCM	CT47A2	12
ENSG00000256771	TCGA-SKCM	ZNF253	12
ENSG00000277481	TCGA-SKCM	PKD1L3	12
ENSG00000031003	TCGA-STAD	FAM13B	12
ENSG00000092067	TCGA-STAD	CEBPE	12
ENSG00000120533	TCGA-STAD	ENY2	12
ENSG00000120594	TCGA-STAD	PLXDC2	12
ENSG00000121446	TCGA-STAD	RGSL1	12
ENSG00000127824	TCGA-STAD	TUBA4A	12
ENSG00000130766	TCGA-STAD	SESN2	12
ENSG00000145050	TCGA-STAD	MANF	12
ENSG00000152422	TCGA-STAD	XRCC4	12
ENSG00000160445	TCGA-STAD	ZER1	12
ENSG00000166266	TCGA-STAD	CUL5	12
ENSG00000169062	TCGA-STAD	UPF3A	12
ENSG00000170891	TCGA-STAD	CYTL1	12
ENSG00000183684	TCGA-STAD	ALYREF	12
ENSG00000243244	TCGA-STAD	STON1	12
ENSG00000111530	TCGA-TGCT	CAND1	12
ENSG00000128833	TCGA-TGCT	MYO5C	12
ENSG00000140265	TCGA-TGCT	ZSCAN29	12
ENSG00000166902	TCGA-TGCT	MRPL16	12
ENSG00000183208	TCGA-TGCT	GDPGP1	12
ENSG00000184304	TCGA-TGCT	PRKD1	12
ENSG00000185176	TCGA-TGCT	AQP12B	12
ENSG00000196141	TCGA-TGCT	SPATS2L	12
ENSG00000255245	TCGA-TGCT	FXYD6-FXYD2	12
ENSG00000067057	TCGA-THCA	PFKP	12
ENSG00000089199	TCGA-THCA	CHGB	12
ENSG00000113805	TCGA-THCA	CNTN3	12
ENSG00000143742	TCGA-THCA	SRP9	12
ENSG00000165584	TCGA-THCA	SSX3	12
ENSG00000172943	TCGA-THCA	PHF8	12
ENSG00000185344	TCGA-THCA	ATP6V0A2	12
ENSG00000185792	TCGA-THCA	NLRP9	12
ENSG00000006283	TCGA-UCEC	CACNA1G	12
ENSG00000038274	TCGA-UCEC	MAT2B	12
ENSG00000057294	TCGA-UCEC	PKP2	12
ENSG00000107672	TCGA-UCEC	NSMCE4A	12
ENSG00000109046	TCGA-UCEC	WSB1	12
ENSG00000132915	TCGA-UCEC	PDE6A	12
ENSG00000140284	TCGA-UCEC	SLC27A2	12
ENSG00000141458	TCGA-UCEC	NPC1	12
ENSG00000141485	TCGA-UCEC	SLC13A5	12
ENSG00000143387	TCGA-UCEC	CTSK	12
ENSG00000151065	TCGA-UCEC	DCP1B	12
ENSG00000158092	TCGA-UCEC	NCK1	12
ENSG00000165434	TCGA-UCEC	PGM2L1	12
ENSG00000167414	TCGA-UCEC	GNG8	12
ENSG00000169217	TCGA-UCEC	CD2BP2	12
ENSG00000196109	TCGA-UCEC	ZNF676	12
ENSG00000255398	TCGA-UCEC	HCAR3	12
ENSG00000143493	TCGA-UCS	INTS7	12
ENSG00000178075	TCGA-UCS	GRAMD1C	12
ENSG00000205356	TCGA-UCS	TECPR1	12
ENSG00000114850	TCGA-UVM	SSR3	12
ENSG00000187533	TCGA-UVM	C4orf40	12
ENSG00000213648	TCGA-UVM	SULT1A4	12
ENSG00000107223	TCGA-ACC	EDF1	11
ENSG00000196712	TCGA-ACC	NF1	11
ENSG00000239382	TCGA-ACC	ALKBH6	11
ENSG00000103496	TCGA-BLCA	STX4	11
ENSG00000140798	TCGA-BLCA	ABCC12	11
ENSG00000146857	TCGA-BLCA	STRA8	11
ENSG00000150756	TCGA-BLCA	FAM173B	11
ENSG00000174136	TCGA-BLCA	RGMB	11
ENSG00000184995	TCGA-BLCA	IFNE	11
ENSG00000196734	TCGA-BLCA	LCE1B	11
ENSG00000196839	TCGA-BLCA	ADA	11
ENSG00000203666	TCGA-BLCA	EFCAB2	11
ENSG00000102287	TCGA-BRCA	GABRE	11
ENSG00000142534	TCGA-BRCA	RPS11	11
ENSG00000156504	TCGA-BRCA	FAM122B	11
ENSG00000159110	TCGA-BRCA	IFNAR2	11
ENSG00000169251	TCGA-BRCA	NMD3	11
ENSG00000170881	TCGA-BRCA	RNF139	11
ENSG00000067596	TCGA-CESC	DHX8	11
ENSG00000078579	TCGA-CESC	FGF20	11
ENSG00000088205	TCGA-CESC	DDX18	11
